Countries,Years,Number of dead firefighters
USA,1980,138
Germany (V),1980,
Germany (P),1980,
Russia,1980,
France,1980,
USA,1981,135
Germany (V),1981,
Germany (P),1981,
Russia,1981,
France,1981,
Russia,1982,
USA,1982,123
Germany (V),1982,
France,1982,
Germany (P),1982,
USA,1983,112
Germany (V),1983,
Germany (P),1983,
Russia,1983,
France,1983,35
Germany (P),1984,
USA,1984,119
Germany (V),1984,
France,1984,26
Russia,1984,
Germany (P),1985,
Germany (V),1985,
France,1985,18
Russia,1985,
USA,1985,126
Germany (V),1986,
Germany (P),1986,
USA,1986,117
France,1986,17
Russia,1986,
USA,1987,130
France,1987,17
Germany (V),1987,14
Russia,1987,
Germany (P),1987,0
Germany (V),1988,17
France,1988,18
Russia,1988,
Germany (P),1988,1
USA,1988,136
Russia,1989,
Germany (P),1989,1
France,1989,27
USA,1989,117
Germany (V),1989,5
France,1990,
Germany (V),1990,13
Russia,1990,
Germany (P),1990,1
USA,1990,107
Russia,1991,
Germany (P),1991,9
France,1991,
USA,1991,108
Germany (V),1991,10
Russia,1992,
USA,1992,75
Germany (V),1992,12
France,1992,
Germany (P),1992,0
USA,1993,77
Germany (V),1993,14
Germany (P),1993,1
Russia,1993,9
France,1993,
Germany (P),1994,0
Germany (V),1994,14
USA,1994,104
Russia,1994,16
France,1994,
France,1995,
Russia,1995,24
USA,1995,
Germany (P),1995,
Germany (V),1995,
Lithuania,1996,0
Kuwait,1996,
Czechia,1996,1
Ireland,1996,
Hungary,1996,
Italy,1996,4
Georgia,1996,0
Poland,1996,5
Latvia,1996,0
Germany,1996,6
Belarus,1996,
Egypt,1996,
Bulgaria,1996,
Sweden,1996,0
Romania,1996,0
Netherlands,1996,0
Slovakia,1996,
Luxemburg,1996,0
Portugal,1996,10
Serbia,1996,
Ukraine,1996,2
France,1996,
Kazakstan,1996,
Russia,1996,28
Germany (P),1996,
Uzbekistan,1996,
Switzerland,1996,
Finland,1996,2
Greece,1996,0
New Zealand,1996,0
Norway,1996,0
UK,1996,3
Croatia,1996,0
Austria,1996,4
Armenia,1996,
Barbados,1996,
Brunei,1996,
Canada,1996,0
Israel,1996,
Denmark,1996,
Iran,1996,
Estonia,1996,
Kazakhstan,1996,
Singapore,1996,
Taiwan,1996,
Slovenia,1996,
Germany (V),1996,
Portugal ,1996,10
USA,1996,96
Mongolia,1996,
Japan,1996,
Kyrgizstan,1996,
Korea South,1996,
Papua New Guinea,1996,
Malaysia,1996,
Slovakia,1997,1
Austria,1997,0
Italy,1997,
Norway,1997,0
Papua New Guinea,1997,
Israel,1997,
Portugal,1997,
Malaysia,1997,
Bulgaria,1997,0
Netherlands,1997,0
Poland,1997,7
Russia,1997,13
Czechia,1997,2
Iran,1997,
Ireland,1997,
Greece,1997,0
New Zealand,1997,0
Lithuania,1997,0
Georgia,1997,0
Latvia,1997,0
Hungary,1997,0
Finland,1997,2
Armenia,1997,
Croatia,1997,0
Korea South,1997,
Mongolia,1997,
Germany,1997,0
Barbados,1997,
Egypt,1997,
Denmark,1997,
Estonia,1997,
Serbia,1997,0
Slovenia,1997,
France,1997,
Ukraine,1997,9
Kazakstan,1997,2
Kyrgizstan,1997,
Romania,1997,1
UK,1997,0
USA,1997,98
Kazakhstan,1997,2
Japan,1997,
Singapore,1997,
Switzerland,1997,
Belarus,1997,0
Portugal ,1997,
Sweden,1997,0
Taiwan,1997,
Kuwait,1997,
Uzbekistan,1997,
Canada,1997,0
Brunei,1997,
Luxemburg,1997,0
Germany,1998,15
Singapore,1998,
Kuwait,1998,
Russia,1998,13
Egypt,1998,
Armenia,1998,
Iran,1998,
Kyrgizstan,1998,
USA,1998,91
Czechia,1998,1
Italy,1998,
Canada,1998,2
Slovenia,1998,
UK,1998,
Brunei,1998,
Serbia,1998,20
France,1998,
Kazakhstan,1998,2
Taiwan,1998,
Denmark,1998,
Korea South,1998,
Uzbekistan,1998,0
Barbados,1998,
Israel,1998,
Switzerland,1998,
Georgia,1998,1
Papua New Guinea,1998,
Finland,1998,2
Latvia,1998,1
Norway,1998,0
Ukraine,1998,5
Hungary,1998,
Slovakia,1998,
Japan,1998,
Belarus,1998,0
Austria,1998,2
Estonia,1998,0
New Zealand,1998,0
Bulgaria,1998,0
Sweden,1998,0
Mongolia,1998,
Malaysia,1998,
Luxemburg,1998,0
Netherlands,1998,2
Lithuania,1998,0
Croatia,1998,0
Romania,1998,0
Portugal ,1998,
Ireland,1998,
Poland,1998,7
Portugal,1998,
Greece,1998,5
Kazakstan,1998,2
Egypt,1999,
Sweden,1999,0
Barbados,1999,
Belarus,1999,1
Taiwan,1999,0
Austria,1999,9
Switzerland,1999,0
Slovenia,1999,
Bulgaria,1999,2
Mongolia,1999,0
UK,1999,0
Ukraine,1999,4
Romania,1999,0
Serbia,1999,2
Uzbekistan,1999,0
France,1999,
Kazakhstan,1999,0
Papua New Guinea,1999,1
Portugal ,1999,
Ireland,1999,
Finland,1999,
Germany,1999,7
Georgia,1999,0
Poland,1999,2
Singapore,1999,0
Slovakia,1999,0
Japan,1999,7
New Zealand,1999,0
Luxemburg,1999,0
Lithuania,1999,0
Iran,1999,
Israel,1999,0
Brunei,1999,0
Canada,1999,0
Armenia,1999,
Norway,1999,0
Netherlands,1999,0
Hungary,1999,
Kyrgizstan,1999,0
Malaysia,1999,0
Italy,1999,
Kuwait,1999,0
Denmark,1999,
Greece,1999,3
Korea South,1999,6
Estonia,1999,0
Czechia,1999,2
Russia,1999,28
USA,1999,112
Croatia,1999,0
Latvia,1999,0
Estonia,2000,1
Germany,2000,12
France,2000,
Egypt,2000,10
Czechia,2000,0
Ireland,2000,0
Iran,2000,
Canada,2000,0
Denmark,2000,1
Hungary,2000,
Kuwait,2000,0
Brunei,2000,0
Kazakhstan,2000,
Barbados,2000,
Italy,2000,
Israel,2000,1
Croatia,2000,
