Countries;Years;Number of calls
Austria;1993;201628
Slovakia;1993;
Serbia;1993;
Holland;1993;
Georgia;1993;
Netherlands;1993;
Kazakstan;1993;
Lithuania;1993;19092
Greece;1993;54386
Uzbekistan;1993;
Belgium;1993;26281
Estonia;1993;
Ukraine;1993;
Iran;1993;41510
Canada;1993;65877
Belarus;1993;
Great Britain;1993;
UK;1993;907000
USA;1993;15318500
Portugal;1993;
Norway;1993;
Moldova;1993;9057
Luxemburg;1993;
Croatia;1993;
Bulgaria;1993;39266
Italy;1993;
Denmark;1993;25425
Finland;1993;
Switzerland;1993;
Germany;1993;3119555
Sri Lanka (Colombo);1993;396
Czech Republic;1993;48363
Romania;1993;
Danmark;1993;
France;1993;3074428
Slovenia;1993;
Singapore;1993;
Tajikistan;1993;
Russia;1993;463205
Sweden;1993;
Hungary;1993;26340
Poland;1993;
Latvia;1993;10714
Slovak;1993;6877
Israel;1993;49647
Ireland;1993;44353
Cyprus;1993;
Tunis;1993;5672
Kazakhstan;1993;
Mongolia;1993;
Algeria;1993;
Kyrgyzstan;1993;12757
Armenia;1993;
Kuwait;1993;
Barbados;1993;
Korea South;1993;
New Zealand;1993;
Brunei;1993;
Japan;1993;
Greece;1994;56188
Romania;1994;
Great Britain;1994;969093
Iran;1994;
Netherlands;1994;
Kyrgyzstan;1994;9943
UK;1994;970416
Kazakstan;1994;
Serbia;1994;
Tajikistan;1994;
Algeria;1994;
Japan;1994;
Holland;1994;33101
Slovak;1994;7724
Czech Republic;1994;56816
Canada;1994;67935
Croatia;1994;
Russia;1994;587543
Cyprus;1994;
Bulgaria;1994;32202
Portugal;1994;
Latvia;1994;9496
Sri Lanka (Colombo);1994;
Sweden;1994;
Austria;1994;212442
Belgium;1994;
Moldova;1994;
Finland;1994;
Denmark;1994;26819
Slovenia;1994;
Lithuania;1994;24401
USA;1994;16127000
Estonia;1994;
Germany;1994;3160421
Slovakia;1994;
Brunei;1994;
France;1994;3075767
Barbados;1994;
Ukraine;1994;
Korea South;1994;
Armenia;1994;
Kuwait;1994;
Norway;1994;
Uzbekistan;1994;
Mongolia;1994;
Tunis;1994;4942
New Zealand;1994;
Switzerland;1994;
Danmark;1994;26819
Kazakhstan;1994;
Israel;1994;51734
Hungary;1994;23999
Italy;1994;
Georgia;1994;4344
Singapore;1994;
Belarus;1994;
Poland;1994;124822
Ireland;1994;42529
Luxemburg;1994;
Estonia;1995;
Belgium;1995;
Ukraine;1995;
Romania;1995;
Barbados;1995;
Danmark;1995;29878
Japan;1995;
Norway;1995;
Poland;1995;
Slovak;1995;8308
Russia;1995;
USA;1995;16391500
France;1995;3323761
Portugal;1995;
Lithuania;1995;17942
Belarus;1995;
Great Britain;1995;1112796
Latvia;1995;
Denmark;1995;30408
Serbia;1995;
Germany;1995;3174301
Georgia;1995;
Tunis;1995;3842
Slovakia;1995;
Kazakstan;1995;
Netherlands;1995;
Luxemburg;1995;
UK;1995;1112796
Uzbekistan;1995;
Korea South;1995;
Sri Lanka (Colombo);1995;
Sweden;1995;
Kyrgyzstan;1995;12065
Kazakhstan;1995;54369
Algeria;1995;
Finland;1995;190500
Italy;1995;
New Zealand;1995;
Greece;1995;49853
Tajikistan;1995;
Bulgaria;1995;23210
Iran;1995;
Slovenia;1995;
Mongolia;1995;
Switzerland;1995;
Singapore;1995;
Armenia;1995;
Cyprus;1995;
Brunei;1995;
Hungary;1995;
Austria;1995;194997
Holland;1995;74826
Croatia;1995;
Ireland;1995;53352
Kuwait;1995;
Czech Republic;1995;65940
Moldova;1995;
Canada;1995;
Israel;1995;59146
Cyprus;1996;
Armenia;1996;
Russia;1996;1085607
Poland;1996;186292
Georgia;1996;5637
Kazakstan;1996;
USA;1996;17503000
Slovakia;1996;
Germany;1996;3405743
Serbia;1996;
Kyrgyzstan;1996;12141
Italy;1996;636439
Czech Republic;1996;74007
Iran;1996;
Israel;1996;
Denmark;1996;30883
Luxemburg;1996;8864
Netherlands;1996;131244
Portugal;1996;714201
UK;1996;1023000
Belgium;1996;
Lithuania;1996;25842
Belarus;1996;30000
Uzbekistan;1996;
Sweden;1996;103035
Brunei;1996;
Greece;1996;51096
Romania;1996;21473
New Zealand;1996;47020
Ukraine;1996;
Mongolia;1996;
Switzerland;1996;
Singapore;1996;
Finland;1996;221920
Kuwait;1996;
Hungary;1996;
Estonia;1996;11401
Ireland;1996;
Bulgaria;1996;25498
Tajikistan;1996;
Austria;1996;204813
Algeria;1996;
Latvia;1996;9692
Barbados;1996;
Slovenia;1996;
Norway;1996;108331
France;1996;3232163
Kazakhstan;1996;50986
Croatia;1996;10600
Japan;1996;
Tunis;1996;4872
Korea South;1996;
Moldova;1996;6863
Russia;1997;988301
Cyprus;1997;
Kazakstan;1997;62004
Israel;1997;
Austria;1997;208660
Denmark;1997;29010
Mongolia;1997;
Belgium;1997;
Ukraine;1997;198330
Portugal;1997;
Norway;1997;92262
Lithuania;1997;32511
Croatia;1997;11711
Singapore;1997;
Uzbekistan;1997;65387
France;1997;3189161
Czech Republic;1997;79508
New Zealand;1997;54712
Hungary;1997;41498
Kyrgyzstan;1997;8484
Italy;1997;
Poland;1997;239708
Tajikistan;1997;2206
Latvia;1997;11723
Moldova;1997;6466
Algeria;1997;
Armenia;1997;
Serbia;1997;10851
Luxemburg;1997;9650
Switzerland;1997;
Georgia;1997;4224
Bulgaria;1997;22261
Greece;1997;60741
Romania;1997;22100
Japan;1997;
Tunis;1997;4731
Sweden;1997;91403
USA;1997;17957500
Barbados;1997;
Brunei;1997;
Kuwait;1997;
Germany;1997;3324835
Korea South;1997;
Netherlands;1997;136909
UK;1997;958000
Iran;1997;
Slovenia;1997;
Estonia;1997;22507
Slovakia;1997;21073
Belarus;1997;56131
Ireland;1997;48304
Kazakhstan;1997;62004
Finland;1997;258238
Mongolia;1998;
Slovakia;1998;
Romania;1998;23516
Czech Republic;1998;77865
USA;1998;18753000
Barbados;1998;2183
Austria;1998;208896
Lithuania;1998;35157
Belarus;1998;60725
Armenia;1998;
Denmark;1998;27023
New Zealand;1998;62109
Brunei;1998;
Moldova;1998;6065
Luxemburg;1998;11936
Portugal;1998;
Russia;1998;1812020
Uzbekistan;1998;62131
Ireland;1998;45889
Latvia;1998;11378
Finland;1998;260000
Sweden;1998;77079
Hungary;1998;
Ukraine;1998;197211
Italy;1998;
