Countries,Years,Number of deaths
USA,1993,4712
Moldova,1993,132
Australia,1993,102
Luxemburg,1993,
Korea South,1993,573
Serbia,1993,
Belgium,1993,140
Uzbekistan,1993,
Israel,1993,10
Portugal,1993,
New Zealand,1993,40
Germany,1993,701
Ireland,1993,51
Norway,1993,64
Estonia,1993,135
Croatia,1993,
Hungary,1993,365
UK,1993,700
France,1993,725
Georgia,1993,
Slovakia,1993,49
Switzerland,1993,35
Canada,1993,417
Austria,1993,60
Poland,1993,493
Spain,1993,
Ukraine,1993,1683
Denmark,1993,70
Lithuania,1993,149
Bulgaria,1993,110
Russia,1993,13712
Malaysia,1993,
Slovenia,1993,
Kazakstan,1993,
Latvia,1993,
Armenia,1993,
Japan,1993,1226
Finland,1993,108
Sweden,1993,107
Netherlands,1993,84
Greece,1993,28
Czech Republic,1993,104
Belarus,1993,
Laos,1993,
San Paulo (State),1993,
Kyrgyzstan,1993,65
Kuwait,1993,
Papua New Guinea,1993,
Mongolia,1993,
Romania,1993,251
Syria,1993,
China,1993,2467
Taiwan,1993,377
Kazakhstan,1993,
Azerbaijan,1993,
Barbados,1993,
Iceland,1993,2
Brunei,1993,
Singapore,1993,
Italy,1993,
Shri Lanka,1993,
Vietnam,1993,127
Tajikistan,1993,
Thailand,1993,
Ukraine,1994,1727
UK,1994,641
Japan,1994,1348
Belarus,1994,
Spain,1994,310
Armenia,1994,
Lithuania,1994,254
Luxemburg,1994,
Romania,1994,250
Poland,1994,535
Uzbekistan,1994,
USA,1994,4379
New Zealand,1994,35
San Paulo (State),1994,50
Netherlands,1994,93
Russia,1994,15733
Belgium,1994,
Papua New Guinea,1994,
Mongolia,1994,
Portugal,1994,
Greece,1994,76
Malaysia,1994,
France,1994,610
Australia,1994,135
Latvia,1994,
Slovenia,1994,10
Laos,1994,
Estonia,1994,168
Moldova,1994,111
Germany,1994,596
Kazakstan,1994,
Czech Republic,1994,107
Israel,1994,10
Norway,1994,56
Vietnam,1994,88
Canada,1994,377
Finland,1994,99
Taiwan,1994,330
Kazakhstan,1994,
Shri Lanka,1994,
Sweden,1994,120
Bulgaria,1994,101
Slovakia,1994,38
Austria,1994,70
Croatia,1994,
Kyrgyzstan,1994,75
Korea South,1994,555
China,1994,
Italy,1994,
Kuwait,1994,
Switzerland,1994,35
Denmark,1994,84
Azerbaijan,1994,
Barbados,1994,
Brunei,1994,
Thailand,1994,
Iceland,1994,2
Singapore,1994,
Serbia,1994,
Georgia,1994,
Syria,1994,
Ireland,1994,42
Tajikistan,1994,
Hungary,1994,335
Georgia,1995,55
Estonia,1995,208
Croatia,1995,
Denmark,1995,95
Finland,1995,87
Germany,1995,614
Ukraine,1995,2067
Belarus,1995,565
Austria,1995,60
Norway,1995,62
USA,1995,4682
Kazakstan,1995,
Switzerland,1995,16
UK,1995,736
Greece,1995,56
Hungary,1995,300
France,1995,585
Bulgaria,1995,109
Canada,1995,400
Russia,1995,14875
Slovakia,1995,59
Uzbekistan,1995,
Romania,1995,303
Moldova,1995,160
Poland,1995,544
Sweden,1995,105
Australia,1995,120
Spain,1995,210
