Countries,Years,Number of fires
Austria,1993,18034
Luxemburg,1993,
Sweden,1993,
USA,1993,1952500
Uzbekistan,1993,
Ukraine,1993,50936
Finland,1993,
Slovak,1993,6354
Portugal,1993,28124
Slovakia,1993,6354
Serbia,1993,
Netherlands,1993,40963
Russia,1993,332400
UK,1993,451500
Slovenia,1993,
South Africa,1993,38800
Italy,1993,
Great Britain,1993,
Switzerland,1993,102700
Holland,1993,
Danmark,1993,
Poland,1993,75357
Belarus,1993,
Greece,1993,25865
Denmark,1993,16803
Latvia,1993,6047
Moldova,1993,4083
Norway,1993,11163
Iran,1993,32084
Israel,1993,25250
Lithuania,1993,7987
Ireland,1993,31613
Germany,1993,228700
Kazakstan,1993,
Sri Lanka (Colombo),1993,389
Estonia,1993,5416
San Paulo (State),1993,23188
Czech Republic,1993,20646
Belgium,1993,20132
Bulgaria,1993,28098
Canada,1993,65877
Georgia,1993,
Romania,1993,6492
France,1993,30114
Brunei,1993,
Papua New Guinea,1993,
New Zealand,1993,
China,1993,38094
Croatia,1993,4966
Tunis,1993,4234
Hungary,1993,21226
Tajikistan,1993,
Algeria,1993,
Malaysia,1993,
Vietnam,1993,1206
Korea South,1993,18747
Singapore,1993,5724
Taiwan,1993,9870
Azerbaijan,1993,
Japan,1993,56691
Kuwait,1993,
Kyrgyzstan,1993,4252
Laos,1993,
Kazakhstan,1993,
Mongolia,1993,
Armenia,1993,
Barbados,1993,
Poland,1994,111978
Austria,1994,19403
Netherlands,1994,39781
Luxemburg,1994,
Algeria,1994,
Belgium,1994,
UK,1994,479500
Denmark,1994,16918
Israel,1994,24272
Latvia,1994,5843
Uzbekistan,1994,
Ireland,1994,28533
Ukraine,1994,51793
Belarus,1994,
Kazakstan,1994,
Italy,1994,
Holland,1994,1904
Estonia,1994,7569
South Africa,1994,55905
France,1994,88712
USA,1994,2054500
Hungary,1994,17938
Iran,1994,
Norway,1994,11757
Lithuania,1994,9390
Canada,1994,66719
Bulgaria,1994,21045
Germany,1994,210787
Georgia,1994,4076
Serbia,1994,
Slovenia,1994,
Moldova,1994,4180
Papua New Guinea,1994,
Portugal,1994,29861
Taiwan,1994,10763
Mongolia,1994,
Azerbaijan,1994,
Kazakhstan,1994,
Switzerland,1994,112100
Korea South,1994,22043
Singapore,1994,5830
Laos,1994,
Tajikistan,1994,
Kyrgyzstan,1994,3358
Greece,1994,24355
Armenia,1994,
Vietnam,1994,1055
Brunei,1994,
Croatia,1994,5230
Japan,1994,
Kuwait,1994,
Czech Republic,1994,21795
Sweden,1994,39204
Tunis,1994,3662
Finland,1994,
Barbados,1994,
Slovak,1994,6960
San Paulo (State),1994,32738
China,1994,
New Zealand,1994,
Danmark,1994,16918
Romania,1994,7309
Sri Lanka (Colombo),1994,
Great Britain,1994,477971
Russia,1994,325200
Malaysia,1994,
Slovakia,1994,6960
Belgium,1995,
Uzbekistan,1995,22000
Vietnam,1995,1091
Slovakia,1995,7639
Germany,1995,206326
Norway,1995,11059
Finland,1995,11050
Sweden,1995,35245
Danmark,1995,19543
Croatia,1995,
Papua New Guinea,1995,
New Zealand,1995,
Austria,1995,17485
Netherlands,1995,42101
Greece,1995,22309
Georgia,1995,2885
Holland,1995,38680
China,1995,
Serbia,1995,
Moldova,1995,3191
Russia,1995,294300
Poland,1995,116700
Lithuania,1995,9205
France,1995,316138
Portugal,1995,43156
Ireland,1995,36024
Tunis,1995,2643
Belarus,1995,
Iran,1995,
Hungary,1995,27827
Denmark,1995,20043
Slovak,1995,7639
Japan,1995,
Italy,1995,
Estonia,1995,8157
Singapore,1995,5091
Laos,1995,
Algeria,1995,
San Paulo (State),1995,34123
Barbados,1995,
Great Britain,1995,603609
Mongolia,1995,
Tajikistan,1995,
Kyrgyzstan,1995,3919
Azerbaijan,1995,2355
Korea South,1995,26071
USA,1995,1965500
Romania,1995,8355
Israel,1995,28851
Switzerland,1995,82700
South Africa,1995,43052
Kuwait,1995,
Brunei,1995,
Kazakhstan,1995,
Latvia,1995,6485
UK,1995,604100
Czech Republic,1995,18565
Bulgaria,1995,15082
Ukraine,1995,47875
Canada,1995,64251
Taiwan,1995,10916
Slovenia,1995,
Sri Lanka (Colombo),1995,
Kazakstan,1995,
Luxemburg,1995,1202
Malaysia,1995,
Armenia,1995,
Moldova,1996,3170
Hungary,1996,
Singapore,1996,5508
UK,1996,532200
Belarus,1996,17000
Austria,1996,17782
Iran,1996,
Canada,1996,60138
Belgium,1996,
Serbia,1996,
Croatia,1996,6099
Luxemburg,1996,1548
Italy,1996,175103
Slovenia,1996,2854
Lithuania,1996,11611
Finland,1996,11000
Greece,1996,21600
Denmark,1996,19756
Czech Republic,1996,21878
Sweden,1996,30665
USA,1996,1975000
France,1996,342032
Kazakstan,1996,
